City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
533,Siniscola,IT,53.15,scattered clouds,40.5719,9.6922,Hotel Sa Tanca E Bore
536,Campo Maior,BR,73.17,heavy intensity rain,-4.8278,-42.1686,Elite Hotel
540,Aripuana,BR,70.66,broken clouds,-9.1667,-60.6333,Hotel Name
543,Sakaraha,MG,71.47,clear sky,-22.9,44.5333,Le Relais
546,Port Augusta,AU,73.71,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
547,Orkney,ZA,67.03,clear sky,-26.9802,26.6727,Hole in One Guest House Orkney
551,Riberalta,BO,72.39,scattered clouds,-10.9833,-66.1,Hotel Colonial
552,Lubbock,US,64.65,few clouds,33.6001,-101.8338,La Quinta Inn by Wyndham Lubbock - Downtown Civic Center
553,Bayji,IQ,52.77,clear sky,34.9311,43.487,مروان /عدنان
558,Santona,ES,55.08,clear sky,43.4439,-3.4576,Playamar
559,Alta Floresta,BR,70.32,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
561,Salalah,OM,69.89,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
562,Avera,US,54.91,clear sky,33.194,-82.5271,Hotel Name
563,Pacifica,US,59.22,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
564,Kuito,AO,59.14,overcast clouds,-12.3833,16.9333,Herdeiros de Antunes Capusso
565,Christchurch,NZ,68.32,clear sky,-43.5333,172.6333,The George
567,Comodoro Rivadavia,AR,53.46,scattered clouds,-45.8667,-67.5,Austral Hotel
569,Hamilton,US,52.43,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
573,Pecos,US,74.05,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos
575,Los Llanos De Aridane,ES,57.13,clear sky,28.6585,-17.9182,Valle Aridane
577,Renukut,IN,55.31,clear sky,24.2,83.0333,Sony Service Center
578,Tucupita,VE,74.7,clear sky,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
579,Gat,IL,56.39,overcast clouds,31.61,34.7642,OlusHome
580,Gijon,ES,53.06,scattered clouds,43.5357,-5.6615,Hotel Norte
583,Boke,GN,70.39,clear sky,10.9409,-14.2967,Hôtel Rio Nunez - Boké
584,Ormara,PK,73.27,clear sky,25.2088,64.6357,Kenara Colony house for Rent
585,Kasungu,MW,63.86,overcast clouds,-13.0333,33.4833,Mame Motel
587,Algeciras,ES,58.77,broken clouds,36.1333,-5.4505,AC Hotel by Marriott Algeciras
588,Mount Darwin,ZW,64.31,overcast clouds,-16.7725,31.5838,Hotel Name
592,Tezu,IN,56.1,overcast clouds,27.9167,96.1667,Circuit House
596,Manyana,BW,71.4,clear sky,-23.4,21.7167,Hotel Name
599,Half Moon Bay,US,60.03,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
601,Coquimbo,CL,62.33,clear sky,-29.9533,-71.3436,Hotel San Juan
603,Djambala,CG,67.37,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
605,Kaduqli,SD,67.55,scattered clouds,11.0167,29.7167,Nussyba
606,Tarut,SA,69.78,overcast clouds,26.5733,50.0369,سطحة لسحب ونقل السيارات
608,Lawrenceburg,US,53.76,clear sky,38.0373,-84.8966,Best Western Lawrenceburg Inn
609,Bull Savanna,JM,73.33,clear sky,17.8868,-77.5902,Big Red's
613,Murgab,TM,54.48,overcast clouds,37.4966,61.9714,Hotel Name
616,Narasannapeta,IN,70.56,broken clouds,18.4167,84.05,AVK events and catering
617,Rodrigues Alves,BR,71.49,heavy intensity rain,-7.738,-72.6509,Pousada Aconchego
622,Ridgecrest,US,67.86,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
624,Bodri,IN,56.26,clear sky,23.1667,81.4333,Lankatola
625,Tomatlan,MX,74.75,clear sky,19.9333,-105.25,El Salvial
627,Itaituba,BR,73.71,overcast clouds,-4.2761,-55.9836,Hotel Campos
631,Toba Tek Singh,PK,54.9,clear sky,30.9743,72.4827,Haji Muhammad Ashraf(x Consular)
634,General Roca,AR,59.63,moderate rain,-39.0333,-67.5833,Hotel El Recreo
643,Sahuaripa,MX,71.24,clear sky,29.05,-109.2333,Estatua de Sahuaripa
646,Itoman,JP,57.97,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
647,Makokou,GA,69.62,light rain,0.5738,12.8642,Hôtel
648,Boulder City,US,69.55,clear sky,35.9786,-114.8325,Boulder Dam Hotel
650,Pringsewu,ID,74.98,overcast clouds,-5.3582,104.9744,Urban Style by Front One
652,Eyl,SO,72.77,clear sky,7.9803,49.8164,Amiin Hotel
653,Chihuahua,MX,72.43,clear sky,28.5,-106.0,Hotel Name
