City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
119,Panama City,8.9936,-79.5197,82.06,67,20,10.36,PA,few clouds
120,Ahipara,-35.1667,173.1667,76.71,58,7,1.34,NZ,clear sky
121,Athabasca,54.7169,-113.2854,0.48,93,100,4.47,CA,overcast clouds
122,Port Alfred,-33.5906,26.891,65.37,82,0,9.13,ZA,clear sky
123,Georgetown,5.4112,100.3354,80.53,78,20,8.05,MY,few clouds
124,Axim,4.8699,-2.2405,79.29,88,100,6.31,GH,overcast clouds
125,Lebu,-37.6167,-73.65,57.02,87,0,13.71,CL,clear sky
126,Saint-Leu,-21.15,55.2833,83.26,76,100,15.68,RE,light rain
127,Salinopolis,-0.6136,-47.3561,79.61,81,100,10.33,BR,light rain
128,Ariquemes,-9.9133,-63.0408,71.89,99,90,1.57,BR,overcast clouds
129,Grindavik,63.8424,-22.4338,32.47,80,0,3.44,IS,clear sky
130,Betsiamites,48.9413,-68.646,12.6,96,100,5.03,CA,snow
131,Mahajanga,-15.7167,46.3167,78.82,94,20,6.91,MG,few clouds
132,Richards Bay,-28.783,32.0377,74.71,82,74,10.36,ZA,broken clouds
133,Nikolskoye,59.7035,30.7861,31.71,97,99,4.27,RU,overcast clouds
134,Batagay-Alyta,67.8006,130.4114,-19.35,82,95,1.63,RU,overcast clouds
135,Alice Springs,-23.7,133.8833,78.35,29,99,10.36,AU,overcast clouds
136,Vanimo,-2.6741,141.3028,83.89,71,100,1.1,PG,overcast clouds
137,General Nakar,14.7631,121.635,77.59,87,96,13.56,PH,overcast clouds
138,Capitan Bado,-23.2667,-55.5333,78.76,49,100,7.72,PY,overcast clouds
139,Ngunguru,-35.6167,174.5,79.16,72,4,8.77,NZ,clear sky
140,Gland,46.4208,6.2701,49.91,82,100,1.99,CH,overcast clouds
141,Kerema,-7.9631,145.7785,83.37,69,100,4.43,PG,light rain
142,Sitka,57.0531,-135.33,42.69,65,40,4.61,US,scattered clouds
143,Sakakah,29.9697,40.2064,49.23,73,0,10.4,SA,clear sky
144,Pevek,69.7008,170.3133,-35.77,97,50,0.36,RU,scattered clouds
145,Karratha,-20.7377,116.8463,95.29,34,2,6.49,AU,clear sky
146,Lavrentiya,65.5833,-171.0,-2.88,89,100,8.03,RU,overcast clouds
147,Cidreira,-30.1811,-50.2056,74.75,85,81,6.73,BR,broken clouds
148,Orange Cove,36.6244,-119.3137,67.66,52,100,0.65,US,overcast clouds
149,Pithoro,25.5167,69.3833,68.85,40,0,9.17,PK,clear sky
150,Attendorn,51.1265,7.9033,42.78,86,100,5.01,DE,overcast clouds
151,Severo-Kurilsk,50.6789,156.125,29.08,81,100,44.94,RU,overcast clouds
152,Puerto Escondido,15.85,-97.0667,83.23,74,20,0.0,MX,few clouds
153,Husavik,66.0449,-17.3389,26.37,87,43,6.93,IS,scattered clouds
154,Kuchl,47.6265,13.1448,45.1,84,100,5.17,AT,overcast clouds
155,Port Hawkesbury,45.6169,-61.3485,17.58,85,33,1.01,CA,scattered clouds
156,Klaksvik,62.2266,-6.589,38.32,79,100,38.74,FO,overcast clouds
157,Atar,20.5169,-13.0499,67.21,31,100,11.74,MR,overcast clouds
158,Tadine,-21.55,167.8833,83.59,72,26,7.18,NC,light rain
159,Mattru,7.6244,-11.8332,73.99,88,3,1.23,SL,clear sky
160,Asau,46.4333,26.4,34.72,89,20,6.78,RO,few clouds
